step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
134,steady,148.086275,149.189184,1102.909,1.748,1101.103,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
135,steady,149.200758,150.303841,1103.084,1.747,1101.278,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
136,steady,150.316055,151.419107,1103.053,1.755,1101.239,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
137,steady,151.430818,152.533675,1102.857,1.762,1101.017,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
138,steady,152.545589,153.648968,1103.379,1.762,1101.556,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
139,steady,153.660254,154.764827,1104.572,1.759,1102.752,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
140,steady,154.776361,155.882012,1105.651,1.757,1103.832,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
141,steady,155.893440,156.998913,1105.473,1.759,1103.657,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
142,steady,157.010392,158.114926,1104.534,1.750,1102.727,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
143,steady,158.126495,159.232396,1105.901,1.765,1104.075,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
144,steady,159.244080,160.350422,1106.342,1.756,1104.527,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
145,steady,160.361993,161.469752,1107.758,1.766,1105.934,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
146,steady,161.481830,162.590438,1108.607,1.756,1106.789,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
147,steady,162.601980,163.711361,1109.381,1.767,1107.546,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
148,steady,163.723190,164.832552,1109.362,1.782,1107.501,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
149,steady,164.846195,165.956584,1110.389,1.766,1108.558,256,TCGA-A2-A0EY-01Z-00-DX1.2F2428B3-0767-48E0-AC22-443C244CBD16,1
